Date,HDFC,ICICI,Yes Bank,SBIN,PNB,Hudco
28-Sep-18,0.013907243,-0.005395255,-0.102248565,0,-0.050581744,-0.060815383
27-Sep-18,0.005373495,-0.018897437,-0.095891614,0.003780723,-0.066177988,-0.035967913
26-Sep-18,0.007986672,0.007548418,0.017136834,-0.023398353,0.001490313,0.002948405
25-Sep-18,0.01312568,0.004524163,-0.028695087,0.021317187,-0.033006296,-0.014655856
24-Sep-18,-0.021874508,-0.028890366,-0.003529675,-0.020576858,-0.049271049,-0.045505481
21-Sep-18,0.003510739,-0.00955147,-0.338452217,-0.00498662,-0.085522173,-0.021999054
19-Sep-18,-0.015877764,0.006723503,-0.014494137,-0.009534359,0,-0.00722677
18-Sep-18,0.000451603,-0.020958619,0.014180214,-0.041464124,-0.045602479,-0.014298724
17-Sep-18,-0.018276589,-0.008261981,-0.014025475,-0.016667052,0.001808864,-0.003542962
14-Sep-18,0.005311737,0.015508948,0.027136792,0.017192401,0.01827091,0.009773512
12-Sep-18,0.009082715,-0.010774308,-0.007129873,0.011096547,-0.00551641,-0.013303966
11-Sep-18,-0.020878411,-0.019556448,-0.022016659,-0.009518845,-0.011546771,-0.034635497
10-Sep-18,-0.007536162,-0.005987146,0.000927071,-0.023750791,-0.019150795,0.002556456
07-Sep-18,0.000631927,0.019895155,-0.046955565,-0.016313021,0.01312668,-0.017759452
06-Sep-18,0.006047766,-0.004556508,-0.01435081,-0.000337041,0.001201923,0.069412071
05-Sep-18,-0.003832872,0.005013303,0.028910568,0.000505604,0,-0.009834679
04-Sep-18,-0.01080882,-0.017362858,-0.016328105,-0.032507008,-0.037762599,-0.01588736
03-Sep-18,0.005826128,-0.025418836,-0.011127494,-0.007964284,-0.020631104,0.028421096
31-Aug-18,-0.002373227,-0.005094255,-0.052471982,0.002269045,0.03580059,-0.000900495
30-Aug-18,-0.005451577,0.010948215,-0.011265403,-0.00485595,0.010044398,0.002703922
29-Aug-18,-0.00883764,0.005298026,-0.014511681,0.015294799,0.015559859,0.004522848
28-Aug-18,0.008212369,-0.003093925,-0.031151038,-0.010763313,-0.029711039,-0.014401689
27-Aug-18,0.004433422,0.029255818,0.022303795,0.026129167,-0.004089985,0.014401689
24-Aug-18,-0.005226472,-0.020390512,-0.03578598,-0.006472515,0.014093011,0.016453753
23-Aug-18,-0.006441208,-0.005918928,-0.006929323,-0.015267472,0.010104098,-0.016453753
21-Aug-18,-0.001073486,0.001624216,-0.007262566,-0.002115714,-0.005955944,0
20-Aug-18,0.009510534,-0.005011803,0.002287749,0.018210658,0.008947271,-0.001811595
17-Aug-18,0.000794635,0.016605274,0.036938042,0.031278824,0.021193648,0.011834458
16-Aug-18,-0.006507016,0.006449216,-0.008021609,-0.006809696,0.022278149,-0.003656311
14-Aug-18,-0.000717738,0.021444058,0.028294376,-0.000339271,-0.005616239,0
13-Aug-18,-0.01157979,-0.008876704,-0.031563421,-0.03220971,-0.034254113,-0.014493007
10-Aug-18,-0.001724281,-0.014521508,0.004579661,-0.038658381,-0.003002104,-0.003590668
09-Aug-18,-0.008553689,0.045312213,-0.003796065,0.024957302,0.036012436,0.001793722
08-Aug-18,0.002201922,0.016157488,0.003664926,0.015180247,-0.02939587,-0.023947929
07-Aug-18,0.00798149,-0.006208728,0.010413328,-0.014856203,-0.084443206,0.009687438
06-Aug-18,-0.002738305,0.033075533,0.013070338,0.03277902,0.021301254,0.004434597
03-Aug-18,-0.003882129,0.02306582,0.029149435,0.015525118,0.03458558,0.021564178
02-Aug-18,-0.013110812,-0.004020779,-0.011679968,-0.003734515,-0.027763495,-0.018002286
01-Aug-18,-0.010925796,-0.016252431,-0.005177829,0.005777416,0.028937204,-0.004450386
31-Jul-18,0.004042915,-0.010798534,-0.003120974,-0.01337303,-0.011095004,0.025181187
30-Jul-18,-0.014238125,0.046465772,-0.002300563,0.036822381,0.048790164,0.028639371
27-Jul-18,0.006396926,0.02590371,0.000811359,-0.000348857,0.014123661,0.007525906
26-Jul-18,0.007173911,0.039976772,-0.036787894,0.054658413,0.019988173,-0.004710324
25-Jul-18,0.006044824,0.000364232,-0.002214263,0.017653529,0,-0.012144007
24-Jul-18,0.001319949,-0.001274233,-0.008421375,0.001125493,0.003792672,0.040744622
23-Jul-18,-0.014881193,0.032729186,0.002324982,0.020670121,0.044682084,0.008742163
20-Jul-18,0.002011062,0.018209911,-0.011699047,0.00307043,0.003316753,-0.021236319
19-Jul-18,0.004424837,-0.005345564,0.019097355,0.004430326,0.003994679,0.001912046
18-Jul-18,-0.000298662,-0.013991531,0.007978592,-0.000964785,-0.048821931,-0.011417821
17-Jul-18,0.003382385,0.0266378,0.004606787,0.029356316,0.063607146,0
16-Jul-18,-0.005218343,-0.033187838,0.006883797,-0.022971463,0.002711866,-0.027986901
13-Jul-18,0.00713319,-0.016098044,0.004259857,-0.019795016,-0.033380936,-0.018232046
12-Jul-18,0.008650834,0.013117971,0.009247536,0.014761123,0.008572423,-0.008992866
11-Jul-18,-0.000256192,-0.016782321,0.000269324,-0.017611481,-0.031293297,-0.012455677
10-Jul-18,0.012088986,0.007895019,0.02550776,0.008192863,0.000642055,0.016942001
09-Jul-18,0.003423569,0.004618946,0.026601037,0.015034979,0.012278022,0.004506542
06-Jul-18,-0.004389491,-0.005908437,0.010268202,0.003307074,0.017049593,0.015475957
05-Jul-18,0.009630133,-0.005873732,0.038876736,-0.003501268,-0.006591982,-0.002748513
04-Jul-18,0.015598922,0.000915499,-0.003867326,-0.000970403,-0.010457612,-0.011823694
03-Jul-18,-0.001327332,-0.016352109,-0.000593648,-0.005223965,-0.01612418,-0.000903751
02-Jul-18,-0.016670042,0.007053108,-0.007685524,-0.000771605,0.028554828,-0.019678631
29-Jun-18,-0.011719207,0.015915455,0.031102986,0.009493436,0.036196981,0.020582382
28-Jun-18,0.010012924,-0.028181121,-0.017763526,-0.018515476,-0.04602346,-0.004510608
27-Jun-18,0.0088473,-0.032107186,-0.002384502,-0.020802566,-0.040874144,-0.024011825
26-Jun-18,-0.000429902,-0.00502209,0.00507388,-0.004295459,0.002506267,-0.016558113
25-Jun-18,0.00581933,-0.038629231,-0.002987752,-0.01828137,-0.030277259,-0.010318234
22-Jun-18,0.012130148,0.011029524,0.006885224,0.016791611,-0.015101465,-0.003415887
21-Jun-18,0.000486334,0.014556791,-0.008971352,-0.016791611,-0.031280213,-0.014388737
20-Jun-18,0.014849211,0.004271685,0.016509455,0.003115553,-0.007525361,-0.003355708
19-Jun-18,0.002001607,-0.001710864,-0.002569336,-0.016204269,-0.019418086,0.004196397
18-Jun-18,-0.004614956,0.035494331,0.002115444,-0.002525254,-0.016269644,-0.022454166
15-Jun-18,-0.003171211,-0.00829002,-0.019324997,-0.018385168,-0.020380766,-0.012260064
14-Jun-18,0.000933111,-0.02137539,0.011640185,-0.017358199,0.005467482,-0.019308725
13-Jun-18,-0.004656871,0.012282829,0.002103682,0.016827742,-0.006557401,0.061621134
